year,bunker_type,bunker_sales
1995,Marine Gas Oil,1317.3
1995,Marine Diesel Oil,700.1
1995,Marine Fuel Oil 180 cst,4754.6
1995,Marine Fuel Oil 380 cst,9396.7
1995,Marine Fuel Oil 500 cst +,0
1995,Low-Sulfur Marine Gas Oil,0
1995,Low-Sulfur Fuel Oil 100 cst,0
1995,Low-Sulfur Fuel Oil 180 cst,0
1995,Low-Sulfur Fuel Oil 380 cst,0
1995,Low-Sulfur Fuel Oil 500 cst,0
1995,Ultra Low-Sulfur Fuel Oil,0
1995,Others,1320.5
1996,Marine Gas Oil,1206.69
1996,Marine Diesel Oil,556.905
1996,Marine Fuel Oil 180 cst,4245.912
1996,Marine Fuel Oil 380 cst,9795.725
1996,Marine Fuel Oil 500 cst +,0
1996,Low-Sulfur Marine Gas Oil,0
1996,Low-Sulfur Fuel Oil 100 cst,0
1996,Low-Sulfur Fuel Oil 180 cst,0
1996,Low-Sulfur Fuel Oil 380 cst,0
1996,Low-Sulfur Fuel Oil 500 cst,0
1996,Ultra Low-Sulfur Fuel Oil,0
1996,Others,1133.238
1997,Marine Gas Oil,1230.973
1997,Marine Diesel Oil,480.498
1997,Marine Fuel Oil 180 cst,3944.124
1997,Marine Fuel Oil 380 cst,10303.19
1997,Marine Fuel Oil 500 cst +,0
1997,Low-Sulfur Marine Gas Oil,0
1997,Low-Sulfur Fuel Oil 100 cst,0
1997,Low-Sulfur Fuel Oil 180 cst,0
1997,Low-Sulfur Fuel Oil 380 cst,0
1997,Low-Sulfur Fuel Oil 500 cst,0
1997,Ultra Low-Sulfur Fuel Oil,0
1997,Others,981.969
1998,Marine Gas Oil,1360.472
1998,Marine Diesel Oil,419.562
1998,Marine Fuel Oil 180 cst,3660.765
1998,Marine Fuel Oil 380 cst,11820.955
1998,Marine Fuel Oil 500 cst +,0
1998,Low-Sulfur Marine Gas Oil,0
1998,Low-Sulfur Fuel Oil 100 cst,0
1998,Low-Sulfur Fuel Oil 180 cst,0
1998,Low-Sulfur Fuel Oil 380 cst,0
1998,Low-Sulfur Fuel Oil 500 cst,0
1998,Ultra Low-Sulfur Fuel Oil,0
1998,Others,802.071
1999,Marine Gas Oil,1342.308
1999,Marine Diesel Oil,400.201
1999,Marine Fuel Oil 180 cst,3659.355
1999,Marine Fuel Oil 380 cst,12751.539
1999,Marine Fuel Oil 500 cst +,0
1999,Low-Sulfur Marine Gas Oil,0
1999,Low-Sulfur Fuel Oil 100 cst,0
1999,Low-Sulfur Fuel Oil 180 cst,0
1999,Low-Sulfur Fuel Oil 380 cst,0
1999,Low-Sulfur Fuel Oil 500 cst,0
1999,Ultra Low-Sulfur Fuel Oil,0
1999,Others,737.799
2000,Marine Gas Oil,1257.764
2000,Marine Diesel Oil,296.664
2000,Marine Fuel Oil 180 cst,3178.236
2000,Marine Fuel Oil 380 cst,13240.507
2000,Marine Fuel Oil 500 cst +,0
2000,Low-Sulfur Marine Gas Oil,0
2000,Low-Sulfur Fuel Oil 100 cst,0
2000,Low-Sulfur Fuel Oil 180 cst,0
2000,Low-Sulfur Fuel Oil 380 cst,0
2000,Low-Sulfur Fuel Oil 500 cst,0
2000,Ultra Low-Sulfur Fuel Oil,0
2000,Others,677.626
2001,Marine Gas Oil,1675.347
2001,Marine Diesel Oil,249.799
2001,Marine Fuel Oil 180 cst,3207.524
2001,Marine Fuel Oil 380 cst,14668.655
2001,Marine Fuel Oil 500 cst +,0
2001,Low-Sulfur Marine Gas Oil,0
2001,Low-Sulfur Fuel Oil 100 cst,0
2001,Low-Sulfur Fuel Oil 180 cst,0
2001,Low-Sulfur Fuel Oil 380 cst,0
